w_time_s	WL_set	Mon	Brewer	BrewerDark	Brewer_dk	NLK	Brewer_dk_NL	BrewNL_Mon	Brewermicrom	Peak_steps	FWHM_steps	slit	mwl
3536882179	325.00052574369	8.570141e-07	14200	342	3464.5	1.3794609091105	4779.1423196132	5576503723.3498	4825	4882.3128890259	80.760269655825	2	324.624912688875
3536882186	325.00052574369	8.707477e-07	10734	342	2598	1.2780131163437	3320.2780762609	3813134477.7148	4820	4882.3128890259	80.760269655825	2	324.59056286872
3536882194	325.00052574369	8.585787e-07	6943	342	1650.25	1.0626645904262	1753.6622403509	2042517756.7891	4815	4882.3128890259	80.760269655825	2	324.556209220955
3536882201	325.00052574369	8.688306e-07	4786	342	1111	0.62439144125551	693.69889123487	798428245.08583	4810	4882.3128890259	80.760269655825	2	324.52185174558
3536882208	325.00052574369	8.623076e-07	4466	342	1031	0.35251932132446	363.44742028552	421482334.4773	4805	4882.3128890259	80.760269655825	2	324.487490442595
3536882215	325.00052574369	8.670205e-07	3856	342	878.5	0.15948540839771	140.10793127739	161597022.53567	4800	4882.3128890259	80.760269655825	2	324.453125312
3536882222	325.00052574369	8.691756e-07	3449	342	776.75	0.064725619361358	50.275624838935	57842885.648119	4795	4882.3128890259	80.760269655825	2	324.418756353795
3536882229	325.00052574369	8.706156e-07	3331	342	747.25	0.059762287563682	44.657369381961	51294014.697142	4790	4882.3128890259	80.760269655825	2	324.38438356798
3536882236	325.00052574369	8.583397e-07	3389	342	761.75	0.061561195964803	46.894241026188	54633661.971115	4785	4882.3128890259	80.760269655825	2	324.350006954555
3536882243	325.00052574369	8.757525e-07	2808	342	616.5	0.051365926767608	31.66709385223	36159866.917	4780	4882.3128890259	80.760269655825	2	324.31562651352
3536882250	325.00052574369	8.728127e-07	1650	342	327	0.035564838203915	11.62970209268	13324396.05047	4775	4882.3128890259	80.760269655825	2	324.281242244875
3536882257	325.00052574369	8.573069e-07	754	342	103	0.024266858381468	2.4994864132912	2915509.5022461	4770	4882.3128890259	80.760269655825	2	324.24685414862
3536882264	325.00052574369	8.657416e-07	572	342	57.5	0.0032073141164284	0.18442056169463	213020.33042496	4765	4882.3128890259	80.760269655825	2	324.212462224755
3536882271	325.00052574369	8.629327e-07	535	342	48.25	0.00056380611465601	0.027203645032153	31524.642688998	4760	4882.3128890259	80.760269655825	2	324.17806647328
3536882278	325.00052574369	8.60796e-07	495	342	38.25	2.4719900763053e-05	0.00094553620418677	1098.4440032096	4755	4882.3128890259	80.760269655825	2	324.143666894195
3536882286	325.00052574369	8.614146e-07	473	342	32.75	2.0379335775501e-06	6.6742324664767e-05	77.479908820639	4750	4882.3128890259	80.760269655825	2	324.1092634875
3536882293	325.00052574369	8.638759e-07	405	342	15.75	4.3732678574791e-12	6.8878968755296e-11	7.9732480967805e-05	4745	4882.3128890259	80.760269655825	2	324.074856253195
3536882300	325.00052574369	8.723345e-07	375	342	8.25	3.4620884100383e-16	2.8562229382816e-15	3.2742290237078e-09	4740	4882.3128890259	80.760269655825	2	324.04044519128
3536882307	325.00052574369	8.633255e-07	376	342	8.5	4.9734724747482e-16	4.227451603536e-15	4.8967065186143e-09	4735	4882.3128890259	80.760269655825	2	324.006030301755
3536882314	325.00052574369	8.571248e-07	350	342	2	1.1712061314203e-20	2.3424122628405e-20	2.7328718791482e-14	4730	4882.3128890259	80.760269655825	2	323.97161158462
3536882324	325.00052574369	8.770919e-07	351	342	2.25	1.8565639540011e-20	4.1772688965025e-20	4.7626353595359e-14	4251	4401.5626090405	86.438900754365	3	323.972891046768
3536882332	325.00052574369	8.632947e-07	368	342	6.5	2.4776638091948e-17	1.6104814759766e-16	1.8655060386408e-10	4256	4401.5626090405	86.438900754365	3	324.007274337894
