date_matlab year month day hour min seg Solar_Zenith_angle(º) Total_Column_O3total(E18mole/cm-2) 
736601.563950 2016.000000 9.000000 28.000000 13.000000 32.000000 5.279999 31.802000 7.962700 
736601.606280 2016.000000 9.000000 28.000000 14.000000 33.000000 2.592003 38.438999 8.000900 
736602.448380 2016.000000 9.000000 29.000000 10.000000 45.000000 40.031998 44.048000 8.007000 
736602.455240 2016.000000 9.000000 29.000000 10.000000 55.000000 32.736000 42.396999 8.016600 
736602.462120 2016.000000 9.000000 29.000000 11.000000 5.000000 27.167999 40.813999 8.023500 
736602.468980 2016.000000 9.000000 29.000000 11.000000 15.000000 19.872002 39.313000 8.026700 
736602.475860 2016.000000 9.000000 29.000000 11.000000 25.000000 14.304001 37.898998 8.034000 
736602.482730 2016.000000 9.000000 29.000000 11.000000 35.000000 7.872002 36.583000 8.028100 
736602.496490 2016.000000 9.000000 29.000000 11.000000 54.000000 56.736000 34.294998 8.028100 
736602.503370 2016.000000 9.000000 29.000000 12.000000 4.000000 51.167999 33.348000 8.031800 
736602.510240 2016.000000 9.000000 29.000000 12.000000 14.000000 44.736000 32.548000 8.026500 
736602.563490 2016.000000 9.000000 29.000000 13.000000 31.000000 25.536003 32.157001 7.996800 
736602.594910 2016.000000 9.000000 29.000000 14.000000 16.000000 40.223999 36.573002 7.995300 
736602.680200 2016.000000 9.000000 29.000000 16.000000 19.000000 29.279999 57.840000 7.950400 
736602.693970 2016.000000 9.000000 29.000000 16.000000 39.000000 19.008003 61.889000 7.937100 
736602.730360 2016.000000 9.000000 29.000000 17.000000 31.000000 43.103996 72.946999 7.916800 
736602.737220 2016.000000 9.000000 29.000000 17.000000 41.000000 35.807999 75.074997 7.917300 
736602.744090 2016.000000 9.000000 29.000000 17.000000 51.000000 29.375999 77.211998 7.911600 
736603.411890 2016.000000 9.000000 30.000000 9.000000 53.000000 7.295998 53.898998 7.943100 
736603.430080 2016.000000 9.000000 30.000000 10.000000 19.000000 18.912003 48.937000 7.962500 
736603.463660 2016.000000 9.000000 30.000000 11.000000 7.000000 40.223999 40.726002 7.983300 
736603.498160 2016.000000 9.000000 30.000000 11.000000 57.000000 21.024002 34.376999 7.975900 
736603.531760 2016.000000 9.000000 30.000000 12.000000 45.000000 44.064003 31.483000 7.955800 
736603.573460 2016.000000 9.000000 30.000000 13.000000 45.000000 46.944000 33.631001 7.932100 
